"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"amenity/embassy","amenity","embassy"," ","Embassy","Embassy","使馆",2," "," "," ",""," ",0," ","embassy"," ","country,address,building_area"," "," ","amenity=embassy"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/fast_food","amenity","fast_food"," ","Fast Food","Fast Food","快餐",2," "," "," ","restaurant"," ",0," ","fast-food"," ","cuisine,operator,address,building_area,opening_hours,takeaway,delivery,smoking"," "," ","amenity=fast_food"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/fire_station","amenity","fire_station"," ","Fire Station","Fire Station","消防站",3," "," "," ",""," ",0," ","fire-station"," ","operator,address,building_area"," "," ","amenity=fire_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/fountain","amenity","fountain"," ","Fountain","Fountain","喷泉",2," "," "," ",""," ",0," "," "," "," "," "," ","amenity=fountain"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/fuel","amenity","fuel"," ","Gas Station","Gas Station","加油站",3," "," "," ","petrol,fuel,propane,diesel,lng,cng,biodiesel"," ",0," ","fuel"," ","operator,address,building_area,opening_hours"," "," ","amenity=fuel"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/grave_yard","amenity","grave_yard"," ","Graveyard","Graveyard","墓地",2," ","duplicate"," ",""," ",0," ","cemetery"," ","religion,denomination"," "," ","amenity=grave_yard"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/grit_bin","amenity","grit_bin"," ","Grit Bin","Grit Bin"," ",0," "," ","notTranslated","salt,sand"," ",0," "," "," ","access_simple"," "," ","amenity=grit_bin"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/hospital","amenity","hospital"," ","Hospital Grounds","Hospital Grounds"," ",0," "," ","notTranslated","clinic,doctor,emergency room,health service,hospice,infirmary,institution,nursing home,sanatorium,sanitarium,sick,surgery,ward"," ",0," ","hospital"," ","operator,address,emergency"," "," ","amenity=hospital"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/kindergarten","amenity","kindergarten"," ","Preschool/Kindergarten Grounds","Preschool/Kindergarten Grounds"," ",0," "," ","notTranslated","kindergarden,pre-school"," ",0," ","school"," ","operator,address"," "," ","amenity=kindergarten"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/library","amenity","library"," ","Library","Library","图书馆",3," "," "," ","book"," ",0," ","library"," ","operator,building_area,address,opening_hours"," "," ","amenity=library"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
