"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"amenity/drinking_water","amenity","drinking_water"," ","Drinking Water","Drinking Water","Pitná voda",10," "," "," ","fountain,potable","pítko,fontána,fontánka",22," ","water"," "," "," "," ","amenity=drinking_water"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point"," "," ","last"
"amenity/embassy","amenity","embassy"," ","Embassy","Embassy","Velvyslanectví",14," "," "," ","","velvyslanectví,vyslanectví,ambasáda,zastupitelství",50," ","embassy"," ","country,address,building_area"," "," ","amenity=embassy"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/fast_food","amenity","fast_food"," ","Fast Food","Fast Food","Rychlé občerstvení",18," "," "," ","restaurant","rychlé občerstvení",18," ","fast-food"," ","cuisine,operator,address,building_area,opening_hours,takeaway,delivery,smoking"," "," ","amenity=fast_food"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/fire_station","amenity","fire_station"," ","Fire Station","Fire Station","Hasiči",6," "," "," ","","požární stanice,hasičská stanice",32," ","fire-station"," ","operator,address,building_area"," "," ","amenity=fire_station"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/fountain","amenity","fountain"," ","Fountain","Fountain","Fontána, vodotrysk",18," "," "," ","","vodotrysk,fontána,fontánka,kašna",32," "," "," "," "," "," ","amenity=fountain"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/fuel","amenity","fuel"," ","Gas Station","Gas Station","Čerpací stanice",15," "," "," ","petrol,fuel,propane,diesel,lng,cng,biodiesel","benzinová pumpa,čerpací stanice,pumpa",37," ","fuel"," ","operator,address,building_area,opening_hours"," "," ","amenity=fuel"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/grave_yard","amenity","grave_yard"," ","Graveyard","Graveyard","Pohřebiště",10," "," "," ","","hřbitov,pohřebiště",18," ","cemetery"," ","religion,denomination"," "," ","amenity=grave_yard"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/grit_bin","amenity","grit_bin"," ","Grit Bin","Grit Bin","Zásobník na posypový materiál",29," "," "," ","salt,sand","zásobník na posypový materiál,kontejner na posypový materiál,nádoba na posypový materiál,kontejner,nádoba,štěrk,sůl,posyp",121," "," "," ","access_simple"," "," ","amenity=grit_bin"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/hospital","amenity","hospital"," ","Hospital Grounds","Hospital Grounds","Prostor nemocnice",17," "," "," ","clinic,doctor,emergency room,health service,hospice,infirmary,institution,nursing home,sanatorium,sanitarium,sick,surgery,ward","nemocnice,klinika,špitál,středisko,hospic,LDN,sanatorium,nemocniční,lazaret,ambulance,poliklinika,pohotovost",108," ","hospital"," ","operator,address,emergency"," "," ","amenity=hospital"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/kindergarten","amenity","kindergarten"," ","Preschool/Kindergarten Grounds","Preschool/Kindergarten Grounds","Prostor školky/jeslí",20," "," "," ","kindergarden,pre-school","jesle,školka,kindergarten,předškolní,mateřská školka",52," ","school"," ","operator,address"," "," ","amenity=kindergarten"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/library","amenity","library"," ","Library","Library","Knihovna",8," "," "," ","book","knihovna",8," ","library"," ","operator,building_area,address,opening_hours"," "," ","amenity=library"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/marketplace","amenity","marketplace"," ","Marketplace","Marketplace","Trhoviště",9," "," "," ","","tržiště,trh",11," "," "," ","operator,address,building_area,opening_hours"," "," ","amenity=marketplace"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/nightclub","amenity","nightclub"," ","Nightclub","Nightclub","Diskotéka",9," "," "," ","disco*,night club,dancing,dance club","diskotéka,disko,disco,noční klub,klub,taneční klub,dýza,rychta",62," ","bar"," ","operator,address,building_area,opening_hours,smoking"," "," ","amenity=nightclub"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/parking","amenity","parking"," ","Car Parking","Car Parking","Parkoviště",10," "," "," ","","parkoviště,parking,parkování,stání,garáž,garáže",47," ","parking"," ","operator,parking,capacity,fee,access_simple,supervised,park_ride,address"," "," ","amenity=parking"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point","vertex"," ","last"
"amenity/parking_entrance","amenity","parking_entrance"," ","Parking Garage Entrance/Exit","Parking Garage Entrance/Exit","Vjezd do/výjezd z garáží",24," "," "," ","","parkoviště,parking,parkování,stání,garáž,garáže,vjezd,výjezd",60," ","entrance"," ","access_simple,ref"," "," ","amenity=parking_entrance"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," "," ","vertex"," ","last"
"amenity/pharmacy","amenity","pharmacy"," ","Pharmacy","Pharmacy","Lékárna",7," "," "," ","drug,medicine","lékárna,apatyka",15," ","pharmacy"," ","operator,address,building_area,opening_hours"," "," ","amenity=pharmacy"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship","amenity","place_of_worship"," ","Place of Worship","Place of Worship","Chrám",5," "," "," ","abbey,basilica,bethel,cathedral,chancel,chantry,chapel,church,fold,house of God,house of prayer,house of worship,minster,mission,mosque,oratory,parish,sacellum,sanctuary,shrine,synagogue,tabernacle,temple","křesťanský,křesťanství,kostel,kostelík,chrám,bazilika,katedrála,kaple,kaplička,chrám páně,rotunda,farnost,diecéze,mešita,minaret,synagoga,pagoda,stúpa,oratorium,motlitebna,náboženský,náboženská,náboženské,sakrální,svatyně",221," ","place-of-worship"," ","religion,denomination,address,building_area"," "," ","amenity=place_of_worship"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship/buddhist","amenity","place_of_worship","buddhist","Buddhist Temple","Buddhist Temple","Budhistický chrám",17," "," "," ","stupa,vihara,monastery,temple,pagoda,zendo,dojo","stúpa,vihara,klášter,chrám,pagoda,zendo,dojo",44," ","place-of-worship"," ","denomination,building_area,address"," "," ","amenity=place_of_worship","religion=buddhist"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship/christian","amenity","place_of_worship","christian","Church","Church","Kostel",6," ","duplicate"," ","christian,abbey,basilica,bethel,cathedral,chancel,chantry,chapel,fold,house of God,house of prayer,house of worship,minster,mission,oratory,parish,sacellum,sanctuary,shrine,tabernacle,temple","křesťanský,křesťanství,kostel,kostelík,chrám,bazilika,katedrála,kaple,kaplička,chrám páně,rotunda,farnost,diecéze",113," ","religious-christian"," ","denomination,building_area,address"," "," ","amenity=place_of_worship","religion=christian"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship/jewish","amenity","place_of_worship","jewish","Synagogue","Synagogue","Synagoga",8," "," "," ","jewish","synagoga,židovský,židovská,židovské",35," ","religious-jewish"," ","denomination,building_area,address"," "," ","amenity=place_of_worship","religion=jewish"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/place_of_worship/muslim","amenity","place_of_worship","muslim","Mosque","Mosque","Mešita",6," "," "," ","muslim","mešita,islám,muslim,muslimský,muslimská,muslimské",49," ","religious-muslim"," ","denomination,building_area,address"," "," ","amenity=place_of_worship","religion=muslim"," "," "," ",2," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/police","amenity","police"," ","Police","Police","Policie",7," "," "," ","badge,constable,constabulary,cop,detective,fed,law,enforcement,officer,patrol","policie,strážníci,stráž,hlídka,městská policie,státní policie,vojenská policie,esenbé,esenbáci,SNB,veřejná bezpečnost,šerif,policista,interpol",142," ","police"," ","operator,address,building_area"," "," ","amenity=police"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/post_box","amenity","post_box"," ","Mailbox","Mailbox","Poštovní schránka",17," "," "," ","letter,post","schránka,poštovní schránka,schránka na dopisy",45," ","post"," ","operator,collection_times"," "," ","amenity=post_box"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/post_office","amenity","post_office"," ","Post Office","Post Office","Pošta",5," "," "," ","letter,mail","pošta,poštovní úřad,hlavní pošta",32," ","post"," ","operator,address,building_area,collection_times"," "," ","amenity=post_office"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/pub","amenity","pub"," ","Pub","Pub","Hospoda",7," "," "," ","dive,beer,bier,booze","hospoda,hostinec,hospůdka,pivnice,výčep,lokál",45," ","beer"," ","address,building_area,opening_hours,smoking"," "," ","amenity=pub"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
